"Attribute Manager","Attribut-Manager"
"Attribute Manager Dashboard","Attribut-Manager Dashboard"
"Analyze and manage your EAV attributes efficiently.","Analysiere und verwalte deine EAV-Attribute effizient."
"Fill-Rate Distribution","Fill-Rate Verteilung"
"View Details","Details anzeigen"
"Attribute Sets","Attribut-Sets"
"Manage Sets","Sets verwalten"
"Critical Attributes","Kritische Attribute"
"Quick Actions","Schnellaktionen"
"Run Fill-Rate Analysis","Fill-Rate Analyse starten"
"Find Duplicates","Duplikate finden"
"Browse Attributes","Attribute durchsuchen"
"Approval Queue","Genehmigungswarteschlange"
"Recent Activity","Letzte Aktivitäten"
"Dashboard","Dashboard"
"Analysis","Analyse"
"Fill-Rate Report","Fill-Rate Bericht"
"Duplicate Detection","Duplikat-Erkennung"
"Format Chaos","Format-Chaos"
"Attributes","Attribute"
"General Settings","Allgemeine Einstellungen"
"Enable Module","Modul aktivieren"
"Enable or disable the Attribute Manager functionality.","Aktiviere oder deaktiviere die Attribut-Manager Funktionalität."
"Default Entity Type","Standard-Entity-Typ"
"Primary entity type for analysis (catalog_product, catalog_category, customer, etc.)","Primärer Entity-Typ für Analysen (catalog_product, catalog_category, customer, etc.)"
"Fill-Rate Analysis","Fill-Rate Analyse"
"Critical Threshold (%)","Kritischer Schwellenwert (%)"
"Attributes below this fill-rate are marked as critical. Default: 25","Attribute unter dieser Fill-Rate werden als kritisch markiert. Standard: 25"
"Warning Threshold (%)","Warnung Schwellenwert (%)"
"Attributes below this fill-rate are marked as warning. Default: 50","Attribute unter dieser Fill-Rate werden als Warnung markiert. Standard: 50"
"Exclude System Attributes","System-Attribute ausschließen"
"Duplicate Detection","Duplikat-Erkennung"
"Similarity Threshold (%)","Ähnlichkeits-Schwellenwert (%)"
"Minimum similarity for duplicate detection. Default: 70","Minimale Ähnlichkeit für Duplikat-Erkennung. Standard: 70"
"Compare Labels","Labels vergleichen"
"Also compare frontend labels for duplicates.","Auch Frontend-Labels für Duplikate vergleichen."
"Approval Workflow","Genehmigungsprozess"
"Enable Approval Workflow","Genehmigungsprozess aktivieren"
"Require approval for bulk attribute changes.","Genehmigung für Massen-Attributänderungen erforderlich."
"Notification Email","Benachrichtigungs-E-Mail"
"Email address for approval notifications.","E-Mail-Adresse für Genehmigungs-Benachrichtigungen."
"Auto-Approve Threshold","Auto-Genehmigungs-Schwellenwert"
"Changes affecting fewer products than this are auto-approved. 0 = always require approval.","Änderungen mit weniger betroffenen Produkten werden automatisch genehmigt. 0 = immer Genehmigung erforderlich."
"Internationalization","Internationalisierung"
"Default Locale for Labels","Standard-Locale für Labels"
"Export All Locales","Alle Locales exportieren"
"Include all store view labels in exports.","Alle Store-View Labels in Exporten einschließen."
"Attribute Manager is currently disabled. Enable it in Stores > Configuration > FlipDev Extensions > Attribute Manager.","Der Attribut-Manager ist derzeit deaktiviert. Aktiviere ihn unter Stores > Konfiguration > FlipDev Extensions > Attribute Manager."
"Total Attributes","Attribute gesamt"
"Average Fill-Rate","Durchschnittliche Fill-Rate"
"Critical","Kritisch"
"Warning","Warnung"
"Healthy","Gesund"
"Products","Produkte"
"No critical attributes found.","Keine kritischen Attribute gefunden."
"No recent activity.","Keine aktuellen Aktivitäten."
